Workspace;Defect;DefectID;Severity;Phase
default_workspace;After deletion chat still appears in the list;1034;Low;Propose Closed
default_workspace;After deletion chat still appears in the list;6035;Critical;Closed
default_workspace;After deletion chat still appears in the list;7028;Very High;Fixed
default_workspace;After deletion chat still appears in the list;8034;Very High;Propose Closed
default_workspace;Anatoly;16001;Very High;New
default_workspace;App crashed when Other permissions were disabled;1024;Very High;Deferred
default_workspace;App crashed when Other permissions were disabled;6025;Medium;Fixed
default_workspace;App crashed when Other permissions were disabled;7018;Medium;Opened
default_workspace;App crashed when Other permissions were disabled;8024;High;Rejected
default_workspace;App crashes when In-app purchases permission is not granted;1021;High;Fixed
default_workspace;App crashes when In-app purchases permission is not granted;6022;Medium;Deferred
default_workspace;App crashes when In-app purchases permission is not granted;7015;Medium;phase11
default_workspace;App crashes when In-app purchases permission is not granted;8021;Critical;phase11
default_workspace;App failed to start after Photos, Media, Files permissions were removed;1023;Very High;Deferred
default_workspace;App failed to start after Photos, Media, Files permissions were removed;6024;Medium;Propose Closed
default_workspace;App failed to start after Photos, Media, Files permissions were removed;7017;Very High;New
default_workspace;App failed to start after Photos, Media, Files permissions were removed;8023;Low;Opened
default_workspace;App starts although no permissions to access contacts;1022;Medium;Fixed
default_workspace;App starts although no permissions to access contacts;6023;High;Opened
default_workspace;App starts although no permissions to access contacts;7016;Very High;New
default_workspace;App starts although no permissions to access contacts;8022;Critical;Propose Closed
default_workspace;Broadcast groups are not presented in contact details;1012;Low;Closed
default_workspace;Broadcast groups are not presented in contact details;6013;High;Duplicate
default_workspace;Broadcast groups are not presented in contact details;7006;Critical;phase11
default_workspace;Broadcast groups are not presented in contact details;8012;Low;Rejected
default_workspace;Build number font size in Pipeline live view;44006;Medium;New
default_workspace;Build number font size in Pipeline live view;45005;Medium;New
default_workspace;Build number font size in Pipeline live view;46002;Medium;New
default_workspace;Build number font size in Pipeline live view;47002;Medium;New
default_workspace;Build number font size in Pipeline live view;48002;Medium;New
default_workspace;Build number font size in Pipeline live view;49002;Medium;New
default_workspace;Build number font size in Pipeline live view;50002;Medium;New
default_workspace;Build number font size in Pipeline live view;51002;Medium;New
default_workspace;Build number font size in Pipeline live view;52002;Medium;New
default_workspace;Build number font size in Pipeline live view;53002;Medium;New
default_workspace;Build number font size in Pipeline live view;54002;Medium;New
default_workspace;Build number font size in Pipeline live view;55002;Medium;New
default_workspace;Build number font size in Pipeline live view;56002;Medium;New
default_workspace;Build number font size in Pipeline live view;57002;Medium;New
default_workspace;Build number font size in Pipeline live view;58002;Medium;New
default_workspace;Build number font size in Pipeline live view;59002;Medium;New
default_workspace;Cannot edit contact secondary phone num;1028;High;Rejected
default_workspace;Cannot edit contact secondary phone num;6029;High;Duplicate
default_workspace;Cannot edit contact secondary phone num;7022;Very High;Duplicate
default_workspace;Cannot edit contact secondary phone num;8028;High;Deferred
default_workspace;Cannot scroll between the images;1011;Critical;Deferred
default_workspace;Cannot scroll between the images;6012;Medium;Closed
default_workspace;Cannot scroll between the images;7005;Very High;Opened
default_workspace;Cannot scroll between the images;8011;Medium;New
default_workspace;checkbox guest is disabled;69007;Very High;Fixed
default_workspace;d1;8044;Very High;New
default_workspace;D1;61040;Very High;New
default_workspace;d2;5025;Very High;Opened
default_workspace;Defect for Katy story;76004;;New
default_workspace;Defect on Many users;6047;Medium;New
default_workspace;defect2;95002;;New
default_workspace;Demo app is broken;98038;Critical;New
default_workspace;demo defect;64009;High;New
default_workspace;Error message is presented when moving between networks;1020;High;Deferred
default_workspace;Error message is presented when moving between networks;6021;Critical;Deferred
default_workspace;Error message is presented when moving between networks;7014;High;Propose Closed
default_workspace;Error message is presented when moving between networks;8020;Medium;Deferred
default_workspace;Exception shown while closing the configuration dialog;44005;Medium;New
default_workspace;Exception shown while closing the configuration dialog;45004;Medium;New
default_workspace;Exception shown while closing the configuration dialog;46001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;47001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;48001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;49001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;50001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;51001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;52001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;53001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;54001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;55001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;56001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;57001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;58001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;59001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;63001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;96001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;97001;Medium;New
default_workspace;Failed to find contact by name when name contains special chars;1037;Medium;Opened
default_workspace;Failed to find contact by name when name contains special chars;6038;Low;Duplicate
default_workspace;Failed to find contact by name when name contains special chars;7031;High;Rejected
default_workspace;Failed to find contact by name when name contains special chars;8037;Low;Deferred
default_workspace;Failed to find contact by phone num - no results;1038;Medium;Deferred
default_workspace;Failed to find contact by phone num - no results;6039;Critical;Fixed
default_workspace;Failed to find contact by phone num - no results;7032;Critical;Fixed
default_workspace;Failed to find contact by phone num - no results;8038;High;Deferred
default_workspace;Failed to send message;1008;Very High;Closed
default_workspace;Failed to send message;6009;Very High;Closed
default_workspace;Failed to send message;7002;High;phase11
default_workspace;Failed to send message;8008;Low;New
default_workspace;hgg,jg;94045;Medium;New
default_workspace;Indicator is displayed before message reached recepient;1009;Low;Propose Closed
default_workspace;Indicator is displayed before message reached recepient;6010;Critical;Opened
default_workspace;Indicator is displayed before message reached recepient;7003;Low;phase11
default_workspace;Indicator is displayed before message reached recepient;8009;Medium;Deferred
default_workspace;KerenDefectFromKerenMan test;19002;Critical;New
default_workspace;Mensajes erroneos;17001;High;Fixed
default_workspace;Missing notification when sound is muted and trying to make a call;1017;High;Propose Closed
default_workspace;Missing notification when sound is muted and trying to make a call;6018;Low;New
default_workspace;Missing notification when sound is muted and trying to make a call;7011;Medium;phase9
default_workspace;Missing notification when sound is muted and trying to make a call;8017;High;Fixed
default_workspace;new defect;20002;Medium;New
default_workspace;new1;19001;Very High;New
default_workspace;New2;20001;Critical;New
default_workspace;Performance in auto-download is almost unbearable;4001;Very High;New
default_workspace;Received broadcast message although contact is blocked;1015;Low;Duplicate
default_workspace;Received broadcast message although contact is blocked;6016;Medium;Rejected
default_workspace;Received broadcast message although contact is blocked;7009;Medium;Propose Closed
default_workspace;Received broadcast message although contact is blocked;8015;High;phase11
default_workspace;sdf;6046;Low;New
default_workspace;Tell a Friend - download link is cut in the message;1013;Medium;Rejected
default_workspace;Tell a Friend - download link is cut in the message;6014;Medium;Deferred
default_workspace;Tell a Friend - download link is cut in the message;7007;Low;phase11
default_workspace;Tell a Friend - download link is cut in the message;8013;Medium;Duplicate
default_workspace;test;13010;Critical;Deferred
default_workspace;Test failed;71002;;New
default_workspace;Test this;99001;;New
default_workspace;User receives unclear notification when someone pays for them;1014;Low;New
default_workspace;User receives unclear notification when someone pays for them;6015;Very High;Duplicate
default_workspace;User receives unclear notification when someone pays for them;7008;High;Propose Closed
default_workspace;User receives unclear notification when someone pays for them;8014;Low;Deferred
default_workspace;When calling microservices, can't get past cert page;14001;High;New
default_workspace;Wrong help URL on Android;1019;Low;Rejected
default_workspace;Wrong help URL on Android;6020;Low;Deferred
default_workspace;Wrong help URL on Android;7013;Medium;phase9
default_workspace;Wrong help URL on Android;8019;Critical;phase11
default_workspace;Wrong order in group media;6011;Very High;Duplicate
default_workspace;Wrong order in group media;7004;Very High;phase11
default_workspace;Wrong order in group media;8010;Critical;Closed
default_workspace;Wrong order in group media1;1010;Critical;Fixed
default_workspace;Wrong status is presented for short calls;1018;Very High;Duplicate
default_workspace;Wrong status is presented for short calls;6019;Critical;Opened
default_workspace;Wrong status is presented for short calls;7012;High;phase9
default_workspace;Wrong status is presented for short calls;8018;Very High;Fixed
default_workspace;Wrong warning is displayed when trying to call offline user;1016;Very High;Opened
default_workspace;Wrong warning is displayed when trying to call offline user;6017;Critical;Rejected
default_workspace;Wrong warning is displayed when trying to call offline user;7010;Low;Fixed
default_workspace;Wrong warning is displayed when trying to call offline user;8016;High;phase9
default_workspace;After deletion chat still appears in the list;1034;Low;Propose Closed
default_workspace;After deletion chat still appears in the list;6035;Critical;Closed
default_workspace;After deletion chat still appears in the list;7028;Very High;Fixed
default_workspace;After deletion chat still appears in the list;8034;Very High;Propose Closed
default_workspace;Anatoly;16001;Very High;New
default_workspace;App crashed when Other permissions were disabled;1024;Very High;Deferred
default_workspace;App crashed when Other permissions were disabled;6025;Medium;Fixed
default_workspace;App crashed when Other permissions were disabled;7018;Medium;Opened
default_workspace;App crashed when Other permissions were disabled;8024;High;Rejected
default_workspace;App crashes when In-app purchases permission is not granted;1021;High;Fixed
default_workspace;App crashes when In-app purchases permission is not granted;6022;Medium;Deferred
default_workspace;App crashes when In-app purchases permission is not granted;7015;Medium;phase11
default_workspace;App crashes when In-app purchases permission is not granted;8021;Critical;phase11
default_workspace;App failed to start after Photos, Media, Files permissions were removed;1023;Very High;Deferred
default_workspace;App failed to start after Photos, Media, Files permissions were removed;6024;Medium;Propose Closed
default_workspace;App failed to start after Photos, Media, Files permissions were removed;7017;Very High;New
default_workspace;App failed to start after Photos, Media, Files permissions were removed;8023;Low;Opened
default_workspace;App starts although no permissions to access contacts;1022;Medium;Fixed
default_workspace;App starts although no permissions to access contacts;6023;High;Opened
default_workspace;App starts although no permissions to access contacts;7016;Very High;New
default_workspace;App starts although no permissions to access contacts;8022;Critical;Propose Closed
default_workspace;Broadcast groups are not presented in contact details;1012;Low;Closed
default_workspace;Broadcast groups are not presented in contact details;6013;High;Duplicate
default_workspace;Broadcast groups are not presented in contact details;7006;Critical;phase11
default_workspace;Broadcast groups are not presented in contact details;8012;Low;Rejected
default_workspace;Build number font size in Pipeline live view;44006;Medium;New
default_workspace;Build number font size in Pipeline live view;45005;Medium;New
default_workspace;Build number font size in Pipeline live view;46002;Medium;New
default_workspace;Build number font size in Pipeline live view;47002;Medium;New
default_workspace;Build number font size in Pipeline live view;48002;Medium;New
default_workspace;Build number font size in Pipeline live view;49002;Medium;New
default_workspace;Build number font size in Pipeline live view;50002;Medium;New
default_workspace;Build number font size in Pipeline live view;51002;Medium;New
default_workspace;Build number font size in Pipeline live view;52002;Medium;New
default_workspace;Build number font size in Pipeline live view;53002;Medium;New
default_workspace;Build number font size in Pipeline live view;54002;Medium;New
default_workspace;Build number font size in Pipeline live view;55002;Medium;New
default_workspace;Build number font size in Pipeline live view;56002;Medium;New
default_workspace;Build number font size in Pipeline live view;57002;Medium;New
default_workspace;Build number font size in Pipeline live view;58002;Medium;New
default_workspace;Build number font size in Pipeline live view;59002;Medium;New
default_workspace;Cannot edit contact secondary phone num;1028;High;Rejected
default_workspace;Cannot edit contact secondary phone num;6029;High;Duplicate
default_workspace;Cannot edit contact secondary phone num;7022;Very High;Duplicate
default_workspace;Cannot edit contact secondary phone num;8028;High;Deferred
default_workspace;Cannot scroll between the images;1011;Critical;Deferred
default_workspace;Cannot scroll between the images;6012;Medium;Closed
default_workspace;Cannot scroll between the images;7005;Very High;Opened
default_workspace;Cannot scroll between the images;8011;Medium;New
default_workspace;checkbox guest is disabled;69007;Very High;Fixed
default_workspace;d1;8044;Very High;New
default_workspace;D1;61040;Very High;New
default_workspace;d2;5025;Very High;Opened
default_workspace;Defect for Katy story;76004;;New
default_workspace;Defect on Many users;6047;Medium;New
default_workspace;defect2;95002;;New
default_workspace;Demo app is broken;98038;Critical;New
default_workspace;demo defect;64009;High;New
default_workspace;Error message is presented when moving between networks;1020;High;Deferred
default_workspace;Error message is presented when moving between networks;6021;Critical;Deferred
default_workspace;Error message is presented when moving between networks;7014;High;Propose Closed
default_workspace;Error message is presented when moving between networks;8020;Medium;Deferred
default_workspace;Exception shown while closing the configuration dialog;44005;Medium;New
default_workspace;Exception shown while closing the configuration dialog;45004;Medium;New
default_workspace;Exception shown while closing the configuration dialog;46001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;47001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;48001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;49001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;50001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;51001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;52001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;53001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;54001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;55001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;56001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;57001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;58001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;59001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;63001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;96001;Medium;New
default_workspace;Exception shown while closing the configuration dialog;97001;Medium;New
default_workspace;Failed to find contact by name when name contains special chars;1037;Medium;Opened
default_workspace;Failed to find contact by name when name contains special chars;6038;Low;Duplicate
default_workspace;Failed to find contact by name when name contains special chars;7031;High;Rejected
default_workspace;Failed to find contact by name when name contains special chars;8037;Low;Deferred
default_workspace;Failed to find contact by phone num - no results;1038;Medium;Deferred
default_workspace;Failed to find contact by phone num - no results;6039;Critical;Fixed
default_workspace;Failed to find contact by phone num - no results;7032;Critical;Fixed
default_workspace;Failed to find contact by phone num - no results;8038;High;Deferred
default_workspace;Failed to send message;1008;Very High;Closed
default_workspace;Failed to send message;6009;Very High;Closed
default_workspace;Failed to send message;7002;High;phase11
default_workspace;Failed to send message;8008;Low;New
default_workspace;hgg,jg;94045;Medium;New
default_workspace;Indicator is displayed before message reached recepient;1009;Low;Propose Closed
default_workspace;Indicator is displayed before message reached recepient;6010;Critical;Opened
default_workspace;Indicator is displayed before message reached recepient;7003;Low;phase11
default_workspace;Indicator is displayed before message reached recepient;8009;Medium;Deferred
default_workspace;KerenDefectFromKerenMan test;19002;Critical;New
default_workspace;Mensajes erroneos;17001;High;Fixed
default_workspace;Missing notification when sound is muted and trying to make a call;1017;High;Propose Closed
default_workspace;Missing notification when sound is muted and trying to make a call;6018;Low;New
default_workspace;Missing notification when sound is muted and trying to make a call;7011;Medium;phase9
default_workspace;Missing notification when sound is muted and trying to make a call;8017;High;Fixed
default_workspace;new defect;20002;Medium;New
default_workspace;new1;19001;Very High;New
default_workspace;New2;20001;Critical;New
default_workspace;Performance in auto-download is almost unbearable;4001;Very High;New
default_workspace;Received broadcast message although contact is blocked;1015;Low;Duplicate
default_workspace;Received broadcast message although contact is blocked;6016;Medium;Rejected
default_workspace;Received broadcast message although contact is blocked;7009;Medium;Propose Closed
default_workspace;Received broadcast message although contact is blocked;8015;High;phase11
default_workspace;sdf;6046;Low;New
default_workspace;Tell a Friend - download link is cut in the message;1013;Medium;Rejected
default_workspace;Tell a Friend - download link is cut in the message;6014;Medium;Deferred
default_workspace;Tell a Friend - download link is cut in the message;7007;Low;phase11
default_workspace;Tell a Friend - download link is cut in the message;8013;Medium;Duplicate
default_workspace;test;13010;Critical;Deferred
default_workspace;Test failed;71002;;New
default_workspace;Test this;99001;;New
default_workspace;User receives unclear notification when someone pays for them;1014;Low;New
default_workspace;User receives unclear notification when someone pays for them;6015;Very High;Duplicate
default_workspace;User receives unclear notification when someone pays for them;7008;High;Propose Closed
default_workspace;User receives unclear notification when someone pays for them;8014;Low;Deferred
default_workspace;When calling microservices, can't get past cert page;14001;High;New
default_workspace;Wrong help URL on Android;1019;Low;Rejected
default_workspace;Wrong help URL on Android;6020;Low;Deferred
default_workspace;Wrong help URL on Android;7013;Medium;phase9
default_workspace;Wrong help URL on Android;8019;Critical;phase11
default_workspace;Wrong order in group media;6011;Very High;Duplicate
default_workspace;Wrong order in group media;7004;Very High;phase11
default_workspace;Wrong order in group media;8010;Critical;Closed
default_workspace;Wrong order in group media1;1010;Critical;Fixed
default_workspace;Wrong status is presented for short calls;1018;Very High;Duplicate
default_workspace;Wrong status is presented for short calls;6019;Critical;Opened
default_workspace;Wrong status is presented for short calls;7012;High;phase9
default_workspace;Wrong status is presented for short calls;8018;Very High;Fixed
default_workspace;Wrong warning is displayed when trying to call offline user;1016;Very High;Opened
default_workspace;Wrong warning is displayed when trying to call offline user;6017;Critical;Rejected
default_workspace;Wrong warning is displayed when trying to call offline user;7010;Low;Fixed
default_workspace;Wrong warning is displayed when trying to call offline user;8016;High;phase9
default_workspace;After deletion chat still appears in the list;1034;Low;Propose Closed
default_workspace;After deletion chat still appears in the list;6035;Critical;Closed
default_workspace;After deletion chat still appears in the list;7028;Very High;Fixed
default_workspace;After deletion chat still appears in the list;8034;Very High;Propose Closed
default_workspace;Anatoly;16001;Very High;New
default_workspace;App crashed when Other permissions were disabled;1024;Very High;Deferred
default_workspace;App crashed when Other permissions were disabled;6025;Medium;Fixed
default_workspace;App crashed when Other permissions were disabled;7018;Medium;Opened
default_workspace;App crashed when Other permissions were disabled;8024;High;Rejected
default_workspace;App crashes when In-app purchases permission is not granted;1021;High;Fixed
default_workspace;App crashes when In-app purchases permission is not granted;6022;Medium;Deferred
default_workspace;App crashes when In-app purchases permission is not granted;7015;Medium;phase11
default_workspace;App crashes when In-app purchases permission is not granted;8021;Critical;phase11
default_workspace;App failed to start after Photos, Media, Files permissions were removed;1023;Very High;Deferred
default_workspace;App failed to start after Photos, Media, Files permissions were removed;6024;Medium;Propose Closed
default_workspace;App failed to start after Photos, Media, Files permissions were removed;7017;Very High;New
default_workspace;App failed to start after Photos, Media, Files permissions were removed;8023;Low;Opened
default_workspace;App starts although no permissions to access contacts;1022;Medium;Fixed
default_workspace;App starts although no permissions to access contacts;6023;High;Opened
default_workspace;App starts although no permissions to access contacts;7016;Very High;New
default_workspace;App starts although no permissions to access contacts;8022;Critical;Propose Closed
default_workspace;Broadcast groups are not presented in contact details;1012;Low;Closed
default_workspace;Broadcast groups are not presented in contact details;6013;High;Duplicate
default_workspace;Broadcast groups are not presented in contact details;7006;Critical;phase11
default_workspace;Broadcast groups are not presented in contact details;8012;Low;Rejected
default_workspace;Build number font size in Pipeline live view;44006;Medium;New
default_workspace;Build number font size in Pipeline live view;45005;Medium;New
default_workspace;Build number font size in Pipeline live view;46002;Medium;New
default_workspace;Build number font size in Pipeline live view;47002;Medium;New
default_workspace;Build number font size in Pipeline live view;48002;Medium;New
default_workspace;Build number font size in Pipeline live view;49002;Medium;New
default_workspace;Build number font size in Pipeline live view;50002;Medium;New
default_workspace;Build number font size in Pipeline live view;51002;Medium;New
default_workspace;Build number font size in Pipeline live view;52002;Medium;New
default_workspace;Build number font size in Pipeline live view;53002;Medium;New
default_workspace;Build number font size in Pipeline live view;54002;Medium;New
default_workspace;Build number font size in Pipeline live view;55002;Medium;New
default_workspace;Build number font size in Pipeline live view;56002;Medium;New
default_workspace;Build number font size in Pipeline live view;57002;Medium;New
